age,overall_rating,potential,wage,international_reputation(1-5),skill_moves(1-5),release_clause_euro,club_rating,contract_end_year,national_rating,crossing,finishing,short_passing,volleys,dribbling,curve,freekick_accuracy,long_passing,ball_control,reactions,shot_power,stamina,long_shots,positioning,vision,penalties,composure,traits,body_type_Normal,body_type_Stocky,preferred_foot_Right
32,62,62,0.0017730496453900709,1,1,0.001258350368895345,62,19,0.0,13,16,27,14,11,16,11,32,18,60,20,36,16,11,48,23,54,1,1,0,1
26,70,73,0.012411347517730497,1,3,0.0047993924596113685,68,19,0.0,56,69,64,72,66,54,35,51,67,69,73,70,64,70,61,72,65,1,1,0,1
18,59,76,0.0035460992907801418,1,2,0.0029538119185648624,77,20,0.0,61,30,40,37,61,36,34,28,47,53,29,63,33,46,37,47,45,0,0,0,0
26,73,76,0.03368794326241135,1,2,0.03658929651591482,71,19,0.0,41,42,61,26,45,33,31,62,54,62,73,57,31,40,37,40,62,1,1,0,1
21,57,71,0.0017730496453900709,1,2,0.0047993924596113685,70,19,0.0,53,49,65,43,63,53,53,58,62,49,58,53,42,49,62,45,60,0,1,0,1
22,60,68,0.0,1,1,0.0019250553011872645,61,20,0.0,12,14,26,13,16,13,11,29,19,55,23,41,11,13,36,13,44,0,0,0,1
23,59,67,0.0,1,1,0.0011082313775183565,60,21,0.0,14,6,23,9,6,14,14,18,12,51,19,24,5,8,41,12,38,0,1,0,1
26,64,66,0.0017730496453900709,1,2,0.0035675336774296097,67,22,0.0,45,38,63,32,41,35,35,51,56,64,40,75,37,30,29,37,55,0,1,0,1
23,63,69,0.0,1,2,0.0030377019431578854,65,20,0.0,58,33,56,37,62,45,32,54,59,61,63,73,44,40,52,35,62,0,0,0,0
30,79,79,0.07624113475177305,2,3,0.07500209725061482,72,21,0.0,63,55,76,44,71,68,61,73,78,75,77,92,71,66,67,63,74,0,1,0,1
25,69,72,0.0425531914893617,1,3,0.0047993924596113685,67,19,0.0,64,68,80,57,71,53,59,73,72,61,68,51,54,57,63,57,69,0,0,0,1
23,70,79,0.0017730496453900709,1,3,0.018928238706857347,68,23,0.0,48,69,73,71,74,49,60,58,72,72,66,76,68,73,70,66,68,1,0,0,1
19,54,68,0.0,1,2,0.0014172998891768623,70,20,0.0,52,54,48,49,61,45,34,41,51,43,71,45,44,51,45,58,45,0,0,0,1
31,72,72,0.01773049645390071,1,2,0.028641820501838958,64,20,0.0,43,76,60,62,56,48,35,46,63,67,73,71,56,75,60,61,65,0,0,1,0
22,63,72,0.0017730496453900709,1,3,0.0047993924596113685,66,21,0.0,67,46,62,41,67,65,59,60,54,51,48,58,58,56,63,37,58,2,0,0,0
27,71,71,0.0017730496453900709,1,3,0.014071447809366542,63,20,0.0,75,53,67,63,71,82,72,57,70,70,69,73,63,65,68,70,63,2,0,0,0
25,69,72,0.01773049645390071,1,3,0.009214656911875736,73,20,0.0,67,60,64,59,71,49,39,59,69,62,67,70,60,60,66,53,69,1,0,0,1
23,71,79,0.010638297872340425,1,4,0.0047993924596113685,67,19,0.0,67,57,71,66,75,73,67,64,73,69,64,53,58,61,71,58,73,2,0,0,0
31,68,68,0.02127659574468085,1,3,0.0047993924596113685,71,21,0.0,68,45,65,40,65,61,48,61,64,66,46,83,40,61,58,33,59,1,1,0,0
24,72,78,0.0070921985815602835,1,3,0.03658929651591482,67,19,71.0,71,62,68,49,77,64,64,59,74,58,60,69,46,60,62,56,67,1,0,0,1
27,65,66,0.0017730496453900709,1,2,0.0037441442555201845,60,23,0.0,38,62,57,62,55,52,53,49,60,58,70,67,65,64,46,54,56,2,1,0,0
23,73,79,0.015957446808510637,1,4,0.04144608741340563,72,21,0.0,70,67,68,66,79,68,66,53,75,68,76,71,67,70,69,70,64,4,0,0,1
20,57,73,0.0035460992907801418,1,2,0.002397488597579552,70,19,0.0,51,35,61,40,59,37,37,58,62,56,56,62,40,55,57,48,48,0,1,0,1
26,63,64,0.0,1,2,0.0027727860760220235,67,19,0.0,58,53,56,48,65,61,36,50,53,57,64,82,63,56,47,64,69,1,1,0,1
20,62,76,0.0,1,3,0.0061239717952906786,71,19,0.0,58,55,65,52,63,63,70,60,66,52,63,51,64,50,64,60,55,0,0,0,1
26,62,63,0.0070921985815602835,1,3,0.002684480786976736,69,21,0.0,60,57,57,37,63,52,46,49,60,56,71,70,47,52,54,59,55,0,0,0,1
28,68,68,0.031914893617021274,1,3,0.007890077576196426,70,20,0.0,50,69,64,55,66,65,37,53,67,59,69,66,63,70,67,70,59,1,1,0,1
21,60,71,0.0,1,1,0.0020442674413984024,69,21,0.0,11,7,46,8,15,12,13,36,21,42,22,27,7,6,36,18,37,0,1,0,1
20,68,83,0.010638297872340425,1,3,0.016720606480725164,71,23,0.0,67,65,71,48,70,65,53,65,69,68,67,66,67,51,67,47,62,1,0,0,1
32,74,74,0.06914893617021277,2,3,0.03084945272797114,76,20,0.0,72,46,72,45,65,64,36,63,68,71,51,78,53,67,59,44,66,1,0,0,1
26,71,74,0.047872340425531915,1,3,0.026434188275706774,73,22,0.0,46,74,66,70,64,65,57,52,70,68,68,64,64,72,64,72,70,2,1,0,1
29,69,70,0.026595744680851064,1,2,0.0074485511309699895,71,22,0.0,49,37,67,34,56,41,35,55,55,68,53,68,47,45,56,49,62,3,0,0,1
24,68,73,0.0017730496453900709,1,2,0.0061239717952906786,62,19,0.0,37,44,71,31,53,37,67,67,59,59,47,67,35,36,42,58,58,0,0,1,1
32,73,73,0.03900709219858156,1,3,0.01848671226163091,71,20,0.0,71,65,71,70,67,62,64,60,67,70,75,80,70,67,59,61,72,3,1,0,0
25,63,68,0.0,1,2,0.003165744612273552,64,19,0.0,60,27,59,16,52,23,18,54,60,63,50,70,36,40,40,23,43,0,0,0,0
31,67,67,0.0,1,2,0.003368846777077713,66,19,0.0,55,47,63,43,51,42,37,67,59,61,57,91,48,65,52,54,65,0,1,0,1
24,65,70,0.0035460992907801418,1,3,0.0047993924596113685,69,19,0.0,58,65,58,53,69,55,48,50,66,55,73,60,57,58,51,64,63,1,1,0,1
30,66,66,0.005319148936170213,1,3,0.004048797502726425,68,19,0.0,60,59,69,50,64,61,66,65,68,64,61,65,62,55,67,57,65,1,1,0,0
22,62,70,0.0,1,3,0.0034218299505048857,68,19,0.0,60,55,59,61,66,59,45,55,67,42,58,49,51,61,55,41,53,1,0,0,0
20,62,73,0.0017730496453900709,1,2,0.003320278868102805,69,22,0.0,29,25,44,31,43,33,31,40,47,63,42,66,26,27,32,41,49,0,0,0,1
23,62,70,0.0,1,3,0.0031215919677509084,69,21,0.0,58,43,60,44,66,40,34,53,63,56,54,63,47,57,58,50,64,0,1,0,1
17,57,70,0.0017730496453900709,1,2,0.001951546887900851,77,20,0.0,54,49,50,46,59,50,44,45,60,45,45,56,48,51,48,42,54,0,0,0,0
24,69,73,0.005319148936170213,1,3,0.009656183357102173,69,23,0.0,60,65,59,60,71,37,35,45,76,55,69,73,54,66,59,61,57,3,0,0,0
18,50,69,0.0,1,2,0.00044152644522643685,67,21,0.0,28,53,41,40,42,30,31,25,40,54,47,59,47,47,46,59,40,0,0,0,1
21,68,78,0.0,1,3,0.014512974254592978,75,21,0.0,60,66,72,64,68,63,60,64,70,65,64,73,62,56,64,59,66,0,0,0,1
33,69,69,0.0035460992907801418,1,2,0.004220992816364736,68,22,0.0,61,52,74,57,60,64,70,70,69,64,72,75,71,63,68,65,71,0,1,0,1
26,70,71,0.0017730496453900709,1,3,0.013629921364140105,69,20,0.0,71,57,65,40,65,53,26,55,67,67,58,83,54,64,62,64,56,0,0,0,1
23,69,76,0.028368794326241134,1,3,0.013629921364140105,70,20,0.0,77,56,63,57,71,70,60,51,68,63,55,69,56,48,70,46,55,3,1,0,0
20,63,75,0.0,1,2,0.004357866014384932,68,20,0.0,32,29,49,31,41,31,27,42,46,53,60,58,35,23,41,45,55,0,1,0,0
27,60,60,0.0035460992907801418,1,2,0.0020310216480416096,67,20,0.0,67,63,69,55,53,61,38,62,45,40,64,59,50,69,45,49,45,0,1,0,1
23,66,74,0.005319148936170213,1,3,0.007007024685743553,70,19,0.0,38,65,71,48,70,51,42,56,63,62,61,56,64,67,62,68,63,0,1,0,1
28,75,75,0.012411347517730497,1,3,0.031732505618424015,70,22,0.0,60,38,68,40,74,64,46,71,77,79,42,84,44,63,63,50,79,2,1,0,1
18,75,90,0.0726950354609929,1,4,0.14741243426775047,85,24,0.0,68,63,79,48,76,68,57,74,78,69,70,71,61,69,76,48,78,2,0,0,0
21,58,64,0.0,1,2,0.0009713581794981611,64,21,0.0,45,38,59,30,55,35,33,58,61,60,49,67,35,55,60,42,41,0,0,0,1
33,67,67,0.0070921985815602835,1,1,0.003916339569158495,70,20,0.0,14,14,23,12,13,17,21,21,14,67,14,36,12,12,50,15,53,0,1,0,1
21,61,69,0.0035460992907801418,1,2,0.003752974784424713,77,20,0.0,58,60,57,49,57,46,45,59,59,65,59,49,59,70,63,70,49,0,1,0,1
20,58,75,0.0,1,1,0.0019471316234485865,65,20,0.0,32,12,57,11,12,30,31,44,21,52,48,26,20,12,48,31,45,1,0,0,1
19,61,78,0.0035460992907801418,1,2,0.005240918904837805,73,22,0.0,59,27,57,28,62,47,49,46,61,53,48,67,52,39,41,40,57,0,0,0,0
33,71,71,0.012411347517730497,1,3,0.010539236247555048,70,19,0.0,44,73,73,70,70,66,51,45,63,72,71,51,67,76,59,67,54,1,1,0,1
33,77,77,0.040780141843971635,3,4,0.04100456096817919,76,20,0.0,74,34,78,59,75,64,38,73,76,72,52,82,43,68,59,45,73,0,0,0,0
23,59,65,0.0017730496453900709,1,3,0.0047993924596113685,64,19,0.0,49,52,59,39,66,45,43,57,64,53,46,55,44,50,55,44,57,0,1,0,1
31,78,78,0.06028368794326241,2,4,0.08824789060740793,73,21,75.0,71,78,74,69,82,67,73,67,81,75,76,71,78,76,74,78,78,5,0,0,1
32,66,66,0.0070921985815602835,1,2,0.004357866014384932,62,19,0.0,36,64,55,59,59,45,37,42,62,66,66,78,60,62,44,61,57,1,1,0,1
31,59,59,0.0017730496453900709,1,2,0.0010243413529253335,60,19,0.0,46,53,64,40,55,47,50,59,60,58,56,50,53,58,62,52,55,1,0,0,1
25,72,77,0.028368794326241134,1,3,0.029083346947065394,71,21,0.0,35,75,59,69,69,45,30,36,72,59,74,62,65,70,49,69,66,0,1,0,1
25,63,66,0.0,1,2,0.002136987994895954,63,20,0.0,55,49,56,41,59,48,37,49,58,55,57,91,48,46,49,29,55,0,1,0,1
20,70,83,0.07624113475177305,1,3,0.0047993924596113685,75,19,0.0,68,69,72,42,79,78,82,68,76,70,59,53,71,66,70,53,70,1,1,0,1
27,64,67,0.0,1,2,0.0037706358422337706,63,19,0.0,49,25,54,31,43,30,28,52,51,61,33,67,30,20,25,41,62,0,1,0,0
24,77,82,0.07801418439716312,2,3,0.09001399638831367,76,22,0.0,70,66,80,70,78,68,64,76,78,72,80,79,76,76,74,52,72,1,1,0,1
30,66,66,0.0035460992907801418,1,3,0.003783881635590564,66,19,0.0,62,47,67,48,71,62,46,55,67,55,56,54,53,58,68,57,64,2,1,0,1
26,69,72,0.0070921985815602835,1,3,0.007890077576196426,68,21,0.0,72,47,72,48,63,52,40,66,69,68,65,72,55,57,65,46,62,0,1,0,1
30,71,71,0.010638297872340425,1,1,0.010539236247555048,70,20,0.0,13,14,35,11,20,15,14,37,33,69,44,31,16,11,46,37,46,1,0,0,1
27,66,67,0.0017730496453900709,1,2,0.004150348585128506,65,20,0.0,26,37,67,29,53,26,28,59,61,65,54,79,58,27,59,34,57,0,1,0,1
30,77,77,0.07446808510638298,1,1,0.04144608741340563,82,20,74.0,18,14,37,15,24,16,15,34,20,75,12,38,12,18,65,14,64,2,1,0,1
30,79,79,0.10815602836879433,2,4,0.07146988568880333,82,21,0.0,78,55,81,76,82,72,68,79,81,78,84,76,78,78,76,64,76,3,0,1,0
24,67,74,0.0017730496453900709,1,2,0.006565498240517116,71,23,0.0,58,51,63,34,60,42,28,60,63,62,51,74,37,54,53,49,57,0,1,0,1
21,59,74,0.0017730496453900709,1,3,0.004000229593751518,71,20,0.0,59,64,56,48,66,49,46,53,65,49,76,49,41,54,49,60,53,0,0,0,0
23,60,66,0.0017730496453900709,1,2,0.0024416412421021955,61,19,0.0,25,64,48,47,59,33,28,41,59,48,59,63,55,56,46,60,51,0,1,0,1
22,58,66,0.0,1,2,0.0012451045755385518,66,21,0.0,55,46,63,31,58,50,45,58,61,53,57,54,45,47,60,48,50,0,0,0,1
32,66,66,0.0035460992907801418,1,2,0.0038766021890881152,68,20,0.0,53,62,63,69,57,45,46,49,63,64,72,65,62,64,67,66,65,1,0,0,1
32,65,65,0.0,1,2,0.002013360590232552,63,19,0.0,37,39,66,41,29,43,45,65,44,56,62,54,51,38,37,41,47,1,1,0,1
30,70,70,0.0017730496453900709,1,3,0.008331604021422863,69,23,0.0,68,56,71,35,66,63,66,71,70,66,64,84,59,64,53,54,65,2,1,0,1
19,59,71,0.0,1,2,0.0015850799383629083,66,21,0.0,57,35,56,26,56,28,26,52,54,54,35,80,29,38,46,44,54,0,1,0,1
23,66,75,0.0035460992907801418,1,2,0.0061239717952906786,70,21,0.0,65,51,65,52,62,48,36,62,64,55,55,81,48,61,62,47,59,0,1,0,1
24,73,79,0.01950354609929078,1,4,0.04144608741340563,70,23,0.0,55,72,69,61,77,52,48,58,76,71,65,69,69,74,73,54,67,2,1,0,1
32,89,89,0.3528368794326241,4,3,0.49003695576346545,84,20,81.0,70,89,78,90,80,77,76,52,82,91,87,92,79,93,77,85,82,2,0,0,1
28,82,83,0.031914893617021274,3,2,0.192448131680847,81,20,78.0,17,42,70,39,64,39,19,70,62,75,50,81,30,49,50,65,74,2,1,0,1
21,72,83,0.044326241134751775,1,3,0.0047993924596113685,65,19,0.0,59,58,71,51,66,60,48,68,70,71,72,92,62,68,72,52,78,1,1,0,1
30,67,67,0.0035460992907801418,1,2,0.003916339569158495,71,22,66.0,58,35,63,54,56,56,43,57,60,64,61,66,33,59,52,42,61,0,1,0,1
18,61,80,0.0,1,3,0.004287221783148702,62,19,0.0,49,56,65,46,65,57,58,59,64,54,52,68,49,55,66,45,58,0,1,0,0
23,57,65,0.0,1,2,0.0012362740466340231,62,19,0.0,30,59,50,43,56,41,28,28,54,56,54,55,58,57,43,68,40,0,0,0,1
25,61,64,0.0017730496453900709,1,2,0.002560853382313334,61,20,0.0,50,60,53,44,61,44,32,47,56,61,61,64,54,59,54,59,54,0,1,0,1
27,70,72,0.03723404255319149,1,3,0.0047993924596113685,66,19,0.0,57,48,67,44,63,62,66,65,66,67,69,73,47,43,60,64,69,1,1,0,1
19,60,71,0.0,1,3,0.0027418792248561728,65,21,0.0,53,53,46,47,67,41,38,41,65,47,64,50,43,55,51,50,51,0,0,0,0
